month,rv,log_rv,NPI,ANP,SNP,NPI2,log_rv_lag1,log_rv_lag2,log_rv_lag3,log_rv_lag4,log_rv_lag5,log_rv_lag6,log_rv_lag7,log_rv_lag8,log_rv_lag9,log_rv_lag10,log_rv_lag11,log_rv_lag12
2013-05-31,0.0009555388596208295,-6.95323512570137,0.0,0.0,0.0,0.0,-6.5920323440682305,-7.223736173663616,-6.909558020311397,-6.87685636842823,-7.5674359684415204,-6.7109221430554005,-6.856736294851991,-6.078444201929033,-6.431715154855387,-5.711074736804909,-5.655146376591946,-5.615751340329266
2013-06-30,0.003007209082991985,-5.8067428453038685,0.0,0.0,0.0,0.0,-6.95323512570137,-6.5920323440682305,-7.223736173663616,-6.909558020311397,-6.87685636842823,-7.5674359684415204,-6.7109221430554005,-6.856736294851991,-6.078444201929033,-6.431715154855387,-5.711074736804909,-5.655146376591946
2013-07-31,0.0018780021732091715,-6.277546741003353,0.0,0.0,0.0,0.0,-5.8067428453038685,-6.95323512570137,-6.5920323440682305,-7.223736173663616,-6.909558020311397,-6.87685636842823,-7.5674359684415204,-6.7109221430554005,-6.856736294851991,-6.078444201929033,-6.431715154855387,-5.711074736804909
2013-08-31,0.0014744316562952566,-6.519482681210246,0.0,0.0,0.0,0.0,-6.277546741003353,-5.8067428453038685,-6.95323512570137,-6.5920323440682305,-7.223736173663616,-6.909558020311397,-6.87685636842823,-7.5674359684415204,-6.7109221430554005,-6.856736294851991,-6.078444201929033,-6.431715154855387
2013-09-30,0.0005698197432161062,-7.470190487121826,0.0,0.0,0.0,0.0,-6.519482681210246,-6.277546741003353,-5.8067428453038685,-6.95323512570137,-6.5920323440682305,-7.223736173663616,-6.909558020311397,-6.87685636842823,-7.5674359684415204,-6.7109221430554005,-6.856736294851991,-6.078444201929033
2013-10-31,0.0007565002543084415,-7.186807688571424,0.0,0.0,0.0,0.0,-7.470190487121826,-6.519482681210246,-6.277546741003353,-5.8067428453038685,-6.95323512570137,-6.5920323440682305,-7.223736173663616,-6.909558020311397,-6.87685636842823,-7.5674359684415204,-6.7109221430554005,-6.856736294851991
2013-11-30,0.001398717704486644,-6.5721993874435505,0.0,0.0,0.0,0.0,-7.186807688571424,-7.470190487121826,-6.519482681210246,-6.277546741003353,-5.8067428453038685,-6.95323512570137,-6.5920323440682305,-7.223736173663616,-6.909558020311397,-6.87685636842823,-7.5674359684415204,-6.7109221430554005
2013-12-31,0.0006172707306974986,-7.390202844725814,0.0,0.0,0.0,0.0,-6.5721993874435505,-7.186807688571424,-7.470190487121826,-6.519482681210246,-6.277546741003353,-5.8067428453038685,-6.95323512570137,-6.5920323440682305,-7.223736173663616,-6.909558020311397,-6.87685636842823,-7.5674359684415204
2014-01-31,0.0014073311776820895,-6.566060149952845,0.0,0.0,0.0,0.0,-7.390202844725814,-6.5721993874435505,-7.186807688571424,-7.470190487121826,-6.519482681210246,-6.277546741003353,-5.8067428453038685,-6.95323512570137,-6.5920323440682305,-7.223736173663616,-6.909558020311397,-6.87685636842823
2014-02-28,0.0010177481125717284,-6.890162825093612,0.0,0.0,0.0,0.0,-6.566060149952845,-7.390202844725814,-6.5721993874435505,-7.186807688571424,-7.470190487121826,-6.519482681210246,-6.277546741003353,-5.8067428453038685,-6.95323512570137,-6.5920323440682305,-7.223736173663616,-6.909558020311397
2014-03-31,0.0010594020522370286,-6.850050631686544,0.0,0.0,0.0,0.0,-6.890162825093612,-6.566060149952845,-7.390202844725814,-6.5721993874435505,-7.186807688571424,-7.470190487121826,-6.519482681210246,-6.277546741003353,-5.8067428453038685,-6.95323512570137,-6.5920323440682305,-7.223736173663616
2014-04-30,0.0003451328329317959,-7.971581192044533,0.0,0.0,0.0,0.0,-6.850050631686544,-6.890162825093612,-6.566060149952845,-7.390202844725814,-6.5721993874435505,-7.186807688571424,-7.470190487121826,-6.519482681210246,-6.277546741003353,-5.8067428453038685,-6.95323512570137,-6.5920323440682305
2014-05-31,0.0006868864944105249,-7.283341498590774,0.0,0.0,0.0,0.0,-7.971581192044533,-6.850050631686544,-6.890162825093612,-6.566060149952845,-7.390202844725814,-6.5721993874435505,-7.186807688571424,-7.470190487121826,-6.519482681210246,-6.277546741003353,-5.8067428453038685,-6.95323512570137
2014-06-30,0.0007566713848074657,-7.186581500748007,0.0,0.0,0.0,0.0,-7.283341498590774,-7.971581192044533,-6.850050631686544,-6.890162825093612,-6.566060149952845,-7.390202844725814,-6.5721993874435505,-7.186807688571424,-7.470190487121826,-6.519482681210246,-6.277546741003353,-5.8067428453038685
2014-07-31,0.0004930202383060772,-7.614960333433381,0.0,0.0,0.0,0.0,-7.186581500748007,-7.283341498590774,-7.971581192044533,-6.850050631686544,-6.890162825093612,-6.566060149952845,-7.390202844725814,-6.5721993874435505,-7.186807688571424,-7.470190487121826,-6.519482681210246,-6.277546741003353
2014-08-31,0.0007004069385859544,-7.263849050996916,0.0,0.0,0.0,0.0,-7.614960333433381,-7.186581500748007,-7.283341498590774,-7.971581192044533,-6.850050631686544,-6.890162825093612,-6.566060149952845,-7.390202844725814,-6.5721993874435505,-7.186807688571424,-7.470190487121826,-6.519482681210246
2014-09-30,0.00042994239899445477,-7.751859314076398,0.0,0.0,0.0,0.0,-7.263849050996916,-7.614960333433381,-7.186581500748007,-7.283341498590774,-7.971581192044533,-6.850050631686544,-6.890162825093612,-6.566060149952845,-7.390202844725814,-6.5721993874435505,-7.186807688571424,-7.470190487121826
2014-10-31,0.0014148118395154443,-6.560758732336436,0.0,-0.08473087794050907,-0.08473087794050907,0.0,-7.751859314076398,-7.263849050996916,-7.614960333433381,-7.186581500748007,-7.283341498590774,-7.971581192044533,-6.850050631686544,-6.890162825093612,-6.566060149952845,-7.390202844725814,-6.5721993874435505,-7.186807688571424
2014-11-30,0.0005304883072521506,-7.5417126411481465,0.0,-0.0958082514625842,-0.0958082514625842,0.0,-6.560758732336436,-7.751859314076398,-7.263849050996916,-7.614960333433381,-7.186581500748007,-7.283341498590774,-7.971581192044533,-6.850050631686544,-6.890162825093612,-6.566060149952845,-7.390202844725814,-6.5721993874435505
2014-12-31,0.0011533237772373235,-6.765107264247319,0.0,-0.24245245229024945,-0.24245245229024945,0.0,-7.5417126411481465,-6.560758732336436,-7.751859314076398,-7.263849050996916,-7.614960333433381,-7.186581500748007,-7.283341498590774,-7.971581192044533,-6.850050631686544,-6.890162825093612,-6.566060149952845,-7.390202844725814
